pagina,titulo,post_id,tag_sugerida,TAG_NO_CLINT
acao-contato-suporte,"[ACAO] Contato - SUPORTE",17556,CONTATO_SUPORTE,
acao-jayremove-campanha-ciafol-apagar,"[ACAO] JAYREMOVE Campanha - CIAFOL APAGAR",17789,JAYREMOVE_CAMPANHA_CIAFOL_APAGAR,
acao-jayremove-campanha-ciafol-avaliar,"[ACAO] JAYREMOVE Campanha - CIAFOL AVALIAR",17813,JAYREMOVE_CAMPANHA_CIAFOL_AVALIAR,
acao-jayremove-campanha-ciafol-infinita,"[ACAO] JAYREMOVE Campanha - CIAFOL INFINITA",17719,JAYREMOVE_CAMPANHA_CIAFOL_INFINITA,
acao-jayremove-campanha-ciafol-triade,"[ACAO] JAYREMOVE Campanha - CIAFOL TRIADE",17800,JAYREMOVE_CAMPANHA_CIAFOL_TRIADE,
acao-lips-laser-quero,"[ACAO] LIPS SENSE Campanha - LASER- QUERO",17619,LIPS_LASER_QUERO,
acao-lips-sense-campanha-bofu,"[ACAO] LIPS SENSE Campanha - BOFU",17516,LIPS_SENSE_CAMPANHA_BOFU,
acao-lips-sense-campanha-ciafol-cuidados,"[ACAO] LIPS SENSE Campanha - CIAFOL Cuidados",17574,LIPS_SENSE_CAMPANHA_CIAFOL_CUIDADOS,
acao-lips-sense-campanha-ciafol-desenho,"[ACAO] LIPS SENSE Campanha - CIAFOL DESENHO",17550,LIPS_SENSE_CAMPANHA_CIAFOL_DESENHO,
acao-lips-sense-campanha-ciafol-estrutura,"[ACAO] LIPS SENSE Campanha - CIAFOL ESTRUTURA",17530,LIPS_SENSE_CAMPANHA_CIAFOL_ESTRUTURA,
acao-lips-sense-campanha-ciafol-fumante,"[ACAO] LIPS SENSE Campanha - CIAFOL FUMANTE",17600,LIPS_SENSE_CAMPANHA_CIAFOL_FUMANTE,
acao-lips-sense-campanha-ciafol-melanina,"[ACAO] LIPS SENSE Campanha - CIAFOL Melanina",17584,LIPS_SENSE_CAMPANHA_CIAFOL_MELANINA,
acao-lips-sense-campanha-ciafol-neutraliza,"[ACAO] LIPS SENSE Campanha - CIAFOL NEUTRALIZA",17568,LIPS_SENSE_CAMPANHA_CIAFOL_NEUTRALIZA,
acao-lips-sense-campanha-ciafol-risco,"[ACAO] LIPS SENSE Campanha - CIAFOL RISCO",17535,LIPS_SENSE_CAMPANHA_CIAFOL_RISCO,
acao-lips-sense-campanha-mofu,"[ACAO] LIPS SENSE Campanha - MOFU",17515,LIPS_SENSE_CAMPANHA_MOFU,
acao-lips-sense-campanha-st-beauty,"[ACAO] LIPS SENSE Campanha - ST BEAUTY",17609,LIPS_SENSE_CAMPANHA_ST_BEAUTY,
acao-lips-sense-campanha-stories,"[ACAO] LIPS SENSE Campanha - stories",17545,LIPS_SENSE_CAMPANHA_STORIES,
acao-lips-sense-campanha-tofu,"[ACAO] LIPS SENSE Campanha - TOFU",17503,LIPS_SENSE_CAMPANHA_TOFU,
acao-mshadow,"[ACAO] JAYREMOVE- MSHADOW",17690,MSHADOW,
acao-mshadow1,"[ACAO] MSHADOW1",17901,MSHADOW1,
basic-magic-shadow,"Shadow PRO - Curso de Micropigmentação by James Olaya",,BASIC_MAGIC_SHADOW,
basic-nanofios,"Curso Online Basic NanoFios by James Olaya",11584,BASIC_NANOFIOS,
beautyempreenda,"[ACAO] Contato Empreenda - JAYBEAUTY STORIES",17392,BEAUTYEMPREENDA,
cadastro-palestra,"Cadastro Palestra",2963,CADASTRO_PALESTRA,
campanha-vogue,"[ACAO] STVOGUE Campanha",17483,CAMPANHA_VOGUE,
campremove,"[ACAO] JAYREMOVE Campanha",17403,CAMPREMOVE,
ciafol-luz,"[ACAO] JAYREMOVE Campanha - CIAFOL LUZ",17713,CIAFOL_LUZ,
ciafol-reparo,"[ACAO] JAYREMOVE Campanha - CIAFOL REPARO",17493,CIAFOL_REPARO,
compra-aprovada-obrigado,"Compra Aprovada - Obrigado",11584,COMPRA_APROVADA_OBRIGADO,
